antecedent,consequent,support,confidence,lift
['0'],['38'],0.18,0.77,1.01
['3'],['38'],0.38,0.77,1.02
['10'],['38'],0.16,0.79,1.05
['11'],['38'],0.41,0.78,1.03
['13'],['38'],0.13,0.78,1.04
['21'],['38'],0.25,0.79,1.04
['24'],['38'],0.07,0.73,0.96
['25'],['38'],0.18,0.78,1.03
['27'],['38'],0.09,0.82,1.08
['28'],['38'],0.38,0.78,1.03
['29'],['38'],0.3,0.78,1.02
['34'],['38'],0.16,0.77,1.02
['36'],['38'],0.49,0.77,1.02
['41'],['36'],0.1,0.7,1.12
['39'],['38'],0.35,0.78,1.03
['4'],['38'],0.16,0.8,1.06
['40'],['38'],0.35,0.77,1.02
['41'],['38'],0.11,0.8,1.05
['42'],['38'],0.2,0.79,1.05
['43'],['38'],0.31,0.79,1.04
['44'],['38'],0.05,0.77,1.02
['45'],['38'],0.13,0.79,1.04
['46'],['38'],0.09,0.77,1.02
['47'],['38'],0.35,0.78,1.03
['48'],['38'],0.41,0.78,1.03
['49'],['38'],0.2,0.78,1.03
['5'],['38'],0.21,0.78,1.03
['6'],['38'],0.13,0.77,1.01
['7'],['38'],0.2,0.79,1.05
['8'],['38'],0.39,0.77,1.02
['9'],['38'],0.33,0.77,1.01
['14'],['38'],0.31,0.78,1.03
['17'],['38'],0.36,0.78,1.03
['19'],['38'],0.13,0.81,1.06
['26'],['38'],0.19,0.78,1.03
['33'],['38'],0.23,0.77,1.02
['35'],['38'],0.29,0.78,1.03
['18'],['38'],0.15,0.8,1.06
['23'],['38'],0.23,0.8,1.06
['22'],['38'],0.09,0.77,1.02
['31'],['38'],0.12,0.8,1.06
['15'],['38'],0.1,0.83,1.09
['12'],['38'],0.17,0.76,1.01
['16'],['38'],0.06,0.79,1.05
['20'],['38'],0.06,0.76,1.01
"['11', '0']",['38'],0.1,0.78,1.04
"['0', '14']",['38'],0.08,0.79,1.04
"['0', '17']",['38'],0.09,0.81,1.07
"['21', '0']",['36'],0.06,0.7,1.12
"['21', '0']",['38'],0.06,0.77,1.02
"['0', '23']",['38'],0.05,0.82,1.08
"['26', '0']",['38'],0.05,0.77,1.02
"['0', '28']",['38'],0.09,0.78,1.03
"['0', '29']",['36'],0.07,0.72,1.15
"['0', '29']",['38'],0.08,0.78,1.03
"['0', '3']",['38'],0.1,0.79,1.04
"['0', '33']",['38'],0.06,0.77,1.02
"['35', '0']",['38'],0.07,0.78,1.03
"['0', '36']",['38'],0.12,0.77,1.02
"['0', '39']",['38'],0.08,0.77,1.01
"['0', '40']",['38'],0.09,0.79,1.05
"['0', '42']",['38'],0.05,0.82,1.08
"['0', '43']",['38'],0.08,0.8,1.06
"['0', '47']",['38'],0.09,0.79,1.05
"['0', '48']",['38'],0.11,0.79,1.04
"['0', '5']",['38'],0.05,0.78,1.04
"['0', '7']",['38'],0.05,0.79,1.05
"['0', '8']",['38'],0.1,0.79,1.04
"['0', '9']",['38'],0.08,0.76,1.0
"['3', '31']",['38'],0.06,0.84,1.11
"['33', '3']",['38'],0.12,0.77,1.02
"['3', '34']",['38'],0.08,0.77,1.02
"['35', '3']",['38'],0.15,0.8,1.06
"['3', '36']",['38'],0.25,0.79,1.05
"['3', '41']",['36'],0.06,0.75,1.19
"['3', '45']",['36'],0.06,0.72,1.15
"['3', '39']",['38'],0.18,0.8,1.06
"['4', '3']",['38'],0.08,0.82,1.08
"['3', '40']",['38'],0.18,0.78,1.03
"['3', '41']",['38'],0.06,0.8,1.06
"['42', '3']",['38'],0.1,0.78,1.04
"['3', '43']",['38'],0.16,0.8,1.06
"['3', '45']",['38'],0.07,0.82,1.08
"['3', '47']",['38'],0.18,0.8,1.05
"['48', '3']",['38'],0.21,0.79,1.05
"['3', '49']",['38'],0.1,0.78,1.03
"['5', '3']",['38'],0.1,0.8,1.06
"['6', '3']",['38'],0.06,0.76,1.01
"['3', '7']",['38'],0.1,0.81,1.08
"['8', '3']",['38'],0.19,0.78,1.03
"['9', '3']",['38'],0.17,0.8,1.05
"['11', '10']",['38'],0.09,0.82,1.08
"['10', '14']",['36'],0.07,0.72,1.14
"['10', '14']",['38'],0.07,0.8,1.06
"['17', '10']",['38'],0.07,0.81,1.07
"['10', '28']",['38'],0.08,0.8,1.06
"['29', '10']",['38'],0.08,0.82,1.09
"['3', '10']",['38'],0.08,0.8,1.06
"['35', '10']",['36'],0.06,0.7,1.12
"['35', '10']",['38'],0.06,0.76,1.01
"['10', '36']",['38'],0.11,0.82,1.08
"['9', '10']",['36'],0.06,0.71,1.14
"['10', '39']",['38'],0.07,0.81,1.07
"['10', '40']",['38'],0.07,0.81,1.07
"['10', '43']",['38'],0.07,0.82,1.08
"['10', '47']",['38'],0.07,0.82,1.08
"['48', '10']",['38'],0.09,0.82,1.08
"['8', '10']",['38'],0.08,0.81,1.08
"['9', '10']",['38'],0.07,0.83,1.1
"['11', '12']",['38'],0.09,0.8,1.06
"['11', '13']",['38'],0.07,0.79,1.05
"['11', '14']",['38'],0.17,0.81,1.07
"['11', '15']",['38'],0.05,0.81,1.07
"['11', '17']",['38'],0.2,0.81,1.06
"['11', '18']",['38'],0.09,0.83,1.09
"['11', '19']",['38'],0.07,0.83,1.1
"['11', '21']",['36'],0.12,0.71,1.13
"['11', '21']",['38'],0.13,0.8,1.06
"['11', '22']",['38'],0.05,0.79,1.04
"['11', '23']",['38'],0.13,0.83,1.1
"['11', '25']",['38'],0.1,0.79,1.04
"['11', '26']",['38'],0.1,0.8,1.06
"['11', '27']",['38'],0.05,0.86,1.13
"['11', '28']",['38'],0.21,0.79,1.05
"['11', '29']",['36'],0.15,0.7,1.12
"['11', '29']",['38'],0.17,0.79,1.04
"['11', '3']",['38'],0.22,0.8,1.05
"['11', '31']",['38'],0.06,0.82,1.08
"['11', '33']",['38'],0.13,0.77,1.02
"['11', '34']",['36'],0.08,0.7,1.12
"['11', '34']",['38'],0.09,0.78,1.03
"['11', '35']",['38'],0.16,0.79,1.05
"['11', '36']",['38'],0.27,0.79,1.04
"['11', '41']",['36'],0.06,0.75,1.2
"['11', '45']",['36'],0.06,0.72,1.15
"['11', '7']",['36'],0.1,0.71,1.13
