antecedent,consequent,support,confidence,lift
['44'],['38'],0.05,0.77,1.02
['16'],['38'],0.06,0.79,1.05
['20'],['38'],0.06,0.76,1.01
['24'],['38'],0.07,0.73,0.96
"['11', '27']",['38'],0.05,0.86,1.13
"['36', '27']",['38'],0.06,0.84,1.11
['27'],['38'],0.09,0.82,1.08
"['48', '46']",['38'],0.05,0.78,1.03
"['46', '36']",['38'],0.05,0.78,1.03
['46'],['38'],0.09,0.77,1.02
"['22', '11']",['38'],0.05,0.79,1.04
"['22', '48']",['38'],0.05,0.79,1.05
"['22', '36']",['38'],0.06,0.78,1.02
['22'],['38'],0.09,0.77,1.02
"['8', '15']",['38'],0.05,0.84,1.11
"['3', '15']",['38'],0.06,0.88,1.16
"['15', '11']",['38'],0.05,0.81,1.07
"['48', '15']",['38'],0.06,0.86,1.13
"['15', '36']",['38'],0.07,0.88,1.16
"['15', '38']",['36'],0.07,0.7,1.12
['15'],['38'],0.1,0.83,1.09
"['41', '9']",['38'],0.05,0.81,1.07
"['41', '40']",['38'],0.05,0.84,1.1
"['39', '41']",['38'],0.05,0.79,1.05
"['47', '41']",['36'],0.05,0.75,1.2
"['47', '41']",['38'],0.06,0.83,1.09
"['8', '41']",['36'],0.05,0.71,1.13
"['8', '41']",['38'],0.06,0.81,1.07
"['28', '41']",['36'],0.05,0.71,1.14
"['28', '41']",['38'],0.06,0.81,1.08
"['41', '17']",['38'],0.06,0.84,1.11
"['41', '11']",['36'],0.06,0.75,1.2
"['41', '11']",['38'],0.06,0.81,1.07
"['48', '41']",['38'],0.06,0.82,1.08
"['3', '41']",['36'],0.06,0.75,1.19
"['3', '41']",['38'],0.06,0.8,1.06
['41'],['36'],0.1,0.7,1.12
"['38', '41']",['36'],0.08,0.73,1.16
"['41', '36']",['38'],0.08,0.83,1.09
['41'],['38'],0.11,0.8,1.05
"['31', '9']",['38'],0.05,0.82,1.09
"['31', '40']",['38'],0.05,0.85,1.13
"['31', '29']",['38'],0.05,0.83,1.09
"['31', '47']",['38'],0.06,0.87,1.15
"['31', '39']",['38'],0.06,0.81,1.07
"['31', '3']",['38'],0.06,0.84,1.11
"['31', '17']",['38'],0.06,0.84,1.11
"['31', '28']",['38'],0.06,0.83,1.09
"['31', '11']",['38'],0.06,0.82,1.08
"['31', '8']",['38'],0.06,0.8,1.06
"['31', '48']",['38'],0.07,0.8,1.06
"['31', '36']",['38'],0.08,0.84,1.11
['31'],['38'],0.12,0.8,1.06
"['35', '13']",['38'],0.05,0.82,1.09
"['14', '13']",['38'],0.05,0.79,1.04
"['13', '40']",['38'],0.05,0.79,1.05
"['13', '9']",['38'],0.06,0.82,1.09
"['29', '13']",['38'],0.06,0.81,1.06
"['13', '43']",['38'],0.06,0.84,1.11
"['47', '13']",['36'],0.06,0.72,1.15
"['47', '13']",['38'],0.06,0.79,1.04
"['39', '13']",['36'],0.06,0.71,1.13
"['39', '13']",['38'],0.07,0.82,1.09
"['3', '13']",['38'],0.06,0.77,1.02
"['13', '17']",['38'],0.07,0.81,1.07
"['28', '13']",['38'],0.07,0.83,1.1
"['8', '13']",['38'],0.07,0.78,1.04
"['13', '11']",['38'],0.07,0.79,1.05
"['48', '13']",['38'],0.07,0.77,1.02
"['13', '36']",['38'],0.09,0.8,1.06
['13'],['38'],0.13,0.78,1.04
"['19', '43']",['38'],0.06,0.83,1.1
"['29', '19']",['38'],0.06,0.83,1.09
"['14', '19']",['38'],0.06,0.83,1.1
"['19', '9']",['38'],0.06,0.81,1.07
"['47', '19']",['38'],0.06,0.84,1.11
"['19', '17']",['38'],0.07,0.82,1.09
"['39', '19']",['38'],0.07,0.81,1.07
"['8', '19']",['36'],0.06,0.72,1.15
"['8', '19']",['38'],0.07,0.81,1.07
"['3', '19']",['38'],0.07,0.83,1.1
"['19', '40']",['36'],0.06,0.72,1.14
"['19', '40']",['38'],0.07,0.81,1.07
"['19', '11']",['38'],0.07,0.83,1.1
"['48', '19', '36']",['38'],0.05,0.85,1.13
"['48', '19']",['38'],0.07,0.86,1.13
"['28', '19', '36']",['38'],0.05,0.85,1.12
"['28', '19']",['38'],0.07,0.84,1.11
"['19', '36']",['38'],0.09,0.82,1.08
['19'],['38'],0.13,0.81,1.06
"['45', '43']",['38'],0.05,0.78,1.03
"['35', '45']",['38'],0.05,0.8,1.05
"['14', '45']",['38'],0.05,0.79,1.04
"['29', '45']",['36'],0.05,0.72,1.15
"['29', '45']",['38'],0.06,0.8,1.05
"['39', '45']",['38'],0.06,0.79,1.04
"['45', '40']",['38'],0.06,0.76,1.01
"['47', '45']",['36'],0.05,0.7,1.12
"['47', '45']",['38'],0.06,0.82,1.08
"['45', '9']",['38'],0.06,0.81,1.07
"['8', '45']",['36'],0.06,0.72,1.15
"['8', '45']",['38'],0.07,0.81,1.07
"['28', '45']",['36'],0.06,0.7,1.12
"['28', '45']",['38'],0.07,0.86,1.13
"['45', '17']",['38'],0.07,0.81,1.06
"['3', '45']",['36'],0.06,0.72,1.15
"['3', '38', '45']",['36'],0.05,0.74,1.17
"['3', '45', '36']",['38'],0.05,0.84,1.11
"['3', '45']",['38'],0.07,0.82,1.08
"['45', '11']",['36'],0.06,0.72,1.15
"['11', '45', '36']",['38'],0.05,0.85,1.12
"['38', '45', '11']",['36'],0.05,0.74,1.18
"['45', '11']",['38'],0.07,0.83,1.09
"['48', '45', '36']",['38'],0.05,0.81,1.07
"['48', '45']",['38'],0.08,0.8,1.06
"['45', '36']",['38'],0.09,0.8,1.05
['45'],['38'],0.13,0.79,1.04
"['6', '29']",['38'],0.05,0.81,1.07
"['6', '14']",['38'],0.05,0.8,1.05
"['6', '43']",['38'],0.05,0.77,1.02
"['6', '9']",['38'],0.06,0.76,1.01
"['6', '40']",['38'],0.06,0.78,1.04
"['6', '3']",['38'],0.06,0.76,1.01
"['6', '47']",['38'],0.07,0.8,1.06
"['6', '39']",['38'],0.07,0.79,1.04
"['6', '28']",['38'],0.07,0.82,1.08
"['6', '17']",['38'],0.07,0.8,1.05
"['6', '8']",['38'],0.07,0.79,1.04
"['6', '48']",['38'],0.07,0.81,1.06
"['6', '11']",['38'],0.08,0.79,1.05
"['6', '36']",['38'],0.08,0.77,1.02
['6'],['38'],0.13,0.77,1.01
"['18', '33']",['38'],0.05,0.82,1.08
"['18', '21']",['38'],0.06,0.82,1.08
"['18', '29']",['36'],0.05,0.72,1.15
"['18', '29']",['38'],0.06,0.83,1.09
"['14', '18']",['38'],0.06,0.8,1.05
"['18', '43']",['38'],0.07,0.82,1.08
"['35', '18']",['38'],0.07,0.8,1.06
"['18', '47']",['38'],0.07,0.81,1.07
"['18', '9']",['38'],0.07,0.78,1.03
"['18', '39']",['38'],0.07,0.81,1.07
"['18', '28', '36']",['38'],0.05,0.82,1.08
"['18', '28']",['38'],0.08,0.81,1.07
"['18', '40']",['38'],0.08,0.82,1.08
"['3', '18', '36']",['38'],0.05,0.85,1.12
"['3', '18']",['38'],0.08,0.83,1.09
"['18', '11', '17']",['38'],0.05,0.85,1.12
"['18', '36', '17']",['38'],0.05,0.81,1.08
"['18', '17']",['38'],0.08,0.81,1.07
"['8', '18', '11']",['38'],0.05,0.83,1.09
"['8', '18', '38']",['36'],0.06,0.7,1.12
"['8', '18', '36']",['38'],0.06,0.82,1.08
"['8', '18']",['38'],0.08,0.79,1.04
"['48', '18', '11']",['38'],0.05,0.83,1.09
"['48', '18', '36']",['38'],0.06,0.83,1.1
"['48', '18']",['38'],0.09,0.83,1.1
"['11', '18', '36']",['38'],0.06,0.83,1.1
"['18', '11']",['38'],0.09,0.83,1.09
"['18', '36']",['38'],0.1,0.8,1.06
['18'],['38'],0.15,0.8,1.06
