antecedent,consequent,support,confidence,lift
['frozen_fish'],['whole_milk'],0.0,0.16,0.94
['seasonal_products'],['rolls/buns'],0.0,0.14,1.23
['pot_plants'],['whole_milk'],0.0,0.13,0.76
['pot_plants'],['other_vegetables'],0.0,0.13,1.0
['pasta'],['whole_milk'],0.0,0.13,0.79
['rolls/buns'],['packaged_fruit/vegetables'],0.0,0.01,1.23
['packaged_fruit/vegetables'],['rolls/buns'],0.0,0.14,1.23
['detergent'],['rolls/buns'],0.0,0.12,1.01
['yogurt'],['detergent'],0.0,0.01,1.38
['detergent'],['yogurt'],0.0,0.12,1.38
['detergent'],['whole_milk'],0.0,0.16,0.97
['pickled_vegetables'],['whole_milk'],0.0,0.11,0.67
['semi-finished_bread'],['other_vegetables'],0.0,0.11,0.83
['semi-finished_bread'],['whole_milk'],0.0,0.18,1.05
['flour'],['tropical_fruit'],0.0,0.11,1.59
['tropical_fruit'],['flour'],0.0,0.02,1.59
['flour'],['whole_milk'],0.0,0.14,0.82
['processed_cheese'],['root_vegetables'],0.0,0.11,1.47
['root_vegetables'],['processed_cheese'],0.0,0.01,1.47
['processed_cheese'],['whole_milk'],0.0,0.14,0.87
['processed_cheese'],['rolls/buns'],0.0,0.14,1.26
['rolls/buns'],['processed_cheese'],0.0,0.01,1.26
['soft_cheese'],['rolls/buns'],0.0,0.1,0.86
['soft_cheese'],['other_vegetables'],0.0,0.12,0.93
['soft_cheese'],['whole_milk'],0.0,0.12,0.71
['soft_cheese'],['yogurt'],0.0,0.12,1.4
['yogurt'],['soft_cheese'],0.0,0.01,1.4
['red/blush_wine'],['other_vegetables'],0.0,0.11,0.85
['red/blush_wine'],['rolls/buns'],0.0,0.13,1.11
['rolls/buns'],['red/blush_wine'],0.0,0.01,1.11
['yogurt'],['herbs'],0.0,0.01,1.2
['herbs'],['yogurt'],0.0,0.11,1.2
['herbs'],['whole_milk'],0.0,0.11,0.64
['white_wine'],['whole_milk'],0.0,0.11,0.65
['tropical_fruit'],['cat_food'],0.0,0.01,1.23
['cat_food'],['tropical_fruit'],0.0,0.08,1.23
['cat_food'],['rolls/buns'],0.0,0.09,0.79
['cat_food'],['whole_milk'],0.0,0.14,0.84
['chewing_gum'],['soda'],0.0,0.08,0.82
['chewing_gum'],['other_vegetables'],0.0,0.09,0.7
['yogurt'],['chewing_gum'],0.0,0.02,1.3
['chewing_gum'],['yogurt'],0.0,0.12,1.3
['chewing_gum'],['whole_milk'],0.0,0.14,0.83
['hygiene_articles'],['root_vegetables'],0.0,0.07,1.01
['root_vegetables'],['hygiene_articles'],0.0,0.01,1.01
['hygiene_articles'],['soda'],0.0,0.08,0.76
['soda'],['hygiene_articles'],0.0,0.01,0.76
['hygiene_articles'],['rolls/buns'],0.0,0.1,0.84
['rolls/buns'],['hygiene_articles'],0.0,0.01,0.84
['hygiene_articles'],['other_vegetables'],0.0,0.1,0.8
['other_vegetables'],['hygiene_articles'],0.0,0.01,0.8
['hygiene_articles'],['whole_milk'],0.0,0.12,0.75
['whole_milk'],['hygiene_articles'],0.0,0.01,0.75
['specialty_bar'],['yogurt'],0.0,0.09,0.96
['yogurt'],['specialty_bar'],0.0,0.01,0.96
['specialty_bar'],['rolls/buns'],0.0,0.09,0.75
['rolls/buns'],['specialty_bar'],0.0,0.01,0.75
['specialty_bar'],['soda'],0.0,0.09,0.89
['soda'],['specialty_bar'],0.0,0.01,0.89
['specialty_bar'],['other_vegetables'],0.0,0.12,0.94
['other_vegetables'],['specialty_bar'],0.0,0.01,0.94
['specialty_bar'],['whole_milk'],0.0,0.12,0.71
['soda'],['sliced_cheese'],0.0,0.01,0.79
['sliced_cheese'],['soda'],0.0,0.08,0.79
['sausage'],['sliced_cheese'],0.0,0.02,1.3
['sliced_cheese'],['sausage'],0.0,0.08,1.3
['root_vegetables'],['sliced_cheese'],0.0,0.02,1.19
['sliced_cheese'],['root_vegetables'],0.0,0.08,1.19
['other_vegetables'],['sliced_cheese'],0.0,0.01,0.78
['sliced_cheese'],['other_vegetables'],0.0,0.1,0.78
['sliced_cheese'],['whole_milk'],0.0,0.1,0.62
['candy'],['citrus_fruit'],0.0,0.07,1.26
['citrus_fruit'],['candy'],0.0,0.02,1.26
['candy'],['other_vegetables'],0.0,0.08,0.61
['candy'],['yogurt'],0.0,0.08,0.92
['yogurt'],['candy'],0.0,0.01,0.92
['candy'],['soda'],0.0,0.09,0.86
['soda'],['candy'],0.0,0.01,0.86
['candy'],['rolls/buns'],0.0,0.1,0.88
['rolls/buns'],['candy'],0.0,0.01,0.88
['candy'],['whole_milk'],0.0,0.15,0.87
['whole_milk'],['candy'],0.0,0.01,0.87
['root_vegetables'],['grapes'],0.0,0.01,1.02
['grapes'],['root_vegetables'],0.0,0.07,1.02
['grapes'],['sausage'],0.0,0.07,1.18
['sausage'],['grapes'],0.0,0.02,1.18
['rolls/buns'],['grapes'],0.0,0.01,0.71
['grapes'],['rolls/buns'],0.0,0.08,0.71
['grapes'],['soda'],0.0,0.1,0.94
['soda'],['grapes'],0.0,0.01,0.94
['other_vegetables'],['grapes'],0.0,0.01,0.86
['grapes'],['other_vegetables'],0.0,0.11,0.86
['whole_milk'],['grapes'],0.0,0.01,0.79
['grapes'],['whole_milk'],0.0,0.13,0.79
['hard_cheese'],['root_vegetables'],0.0,0.07,0.95
['root_vegetables'],['hard_cheese'],0.0,0.01,0.95
['pip_fruit'],['hard_cheese'],0.0,0.02,1.46
['hard_cheese'],['pip_fruit'],0.0,0.07,1.46
['yogurt'],['hard_cheese'],0.0,0.01,0.97
